time,destination_id,distance,stamp
"1970/01/01/02:04:34.564000","(26955, 26952, 26959, 26954)","(2772.530384493986, 3131.1675837437597, 1732.330425026111, 2344.225014676248)","[genpy.Time[274563000000], genpy.Time[274563000000], genpy.Time[274563000000]]"
"1970/01/01/02:04:34.363000","(26955, 26952, 26959, 26954)","(2750.591096414586, 3125.4142744530564, 1750.1171630423735, 2309.5373623464125)","[genpy.Time[274363000000], genpy.Time[274363000000], genpy.Time[274363000000]]"
"1970/01/01/02:04:34.763000","(26955, 26952, 26959, 26954)","(2799.3961694979357, 3193.2891876170497, 1738.490027003462, 2295.5486055575625)","[genpy.Time[274763000000], genpy.Time[274763000000], genpy.Time[274763000000]]"
"1970/01/01/02:04:34.964000","(26955, 26952, 26959, 26954)","(2772.894889614605, 3181.7240368984167, 1759.8317631286068, 2291.7459644206233)","[genpy.Time[274964000000], genpy.Time[274964000000], genpy.Time[274964000000]]"
"1970/01/01/02:04:35.160000","(26955, 26952, 26959, 26954)","(2750.0770759558786, 3176.5906576026723, 1728.8201676301014, 2295.1859333996144)","[genpy.Time[275166000000], genpy.Time[275166000000], genpy.Time[275166000000]]"
"1970/01/01/02:04:35.370000","(26955, 26952, 26959, 26954)","(2772.154960541427, 3178.7922017029423, 1737.6859400134579, 2296.6583370534754)","[genpy.Time[275370000000], genpy.Time[275370000000], genpy.Time[275370000000]]"
"1970/01/01/02:04:35.569000","(26955, 26952, 26959, 26954)","(2778.597793307298, 3168.5464209178554, 1703.2730073723058, 2291.702163613912)","[genpy.Time[275570000000], genpy.Time[275570000000], genpy.Time[275570000000]]"
"1970/01/01/02:04:35.774000","(26955, 26952, 26959, 26954)","(2777.4979652974152, 3158.5642122985782, 1723.6387834698644, 2313.4712597305584)","[genpy.Time[275770000000], genpy.Time[275770000000], genpy.Time[275770000000]]"
"1970/01/01/02:04:35.971000","(26955, 26952, 26959, 26954)","(2781.26527094503, 3175.104345665584, 1740.6821433424807, 2275.884465883679)","[genpy.Time[275971000000], genpy.Time[275971000000], genpy.Time[275971000000]]"
"1970/01/01/02:04:36.174000","(26955, 26952, 26959, 26954)","(2772.1866773589727, 3139.154188218326, 1742.7693971784263, 2270.3995530614316)","[genpy.Time[276172000000], genpy.Time[276172000000], genpy.Time[276172000000]]"
"1970/01/01/02:04:36.373000","(26955, 26952, 26959, 26954)","(2765.6955248372883, 3159.587916971291, 1746.9711734363389, 2312.881033713624)","[genpy.Time[276373000000], genpy.Time[276373000000], genpy.Time[276373000000]]"
"1970/01/01/02:04:36.573000","(26955, 26952, 26959, 26954)","(2748.570520294468, 3147.427421090044, 1723.6833431654957, 2283.279749382562)","[genpy.Time[276573000000], genpy.Time[276573000000], genpy.Time[276573000000]]"
"1970/01/01/02:04:36.773000","(26955, 26952, 26959, 26954)","(2788.277947205767, 3147.703033558718, 1726.5563931798636, 2292.9662923481023)","[genpy.Time[276773000000], genpy.Time[276773000000], genpy.Time[276773000000]]"
"1970/01/01/02:04:36.973000","(26955, 26952, 26959, 26954)","(2785.3550132241626, 3130.9620724491197, 1737.3529982090345, 2267.254361289544)","[genpy.Time[276973000000], genpy.Time[276973000000], genpy.Time[276973000000]]"
"1970/01/01/02:04:37.173000","(26955, 26952, 26959, 26954)","(2716.4271477810316, 3132.5561089884045, 1727.2527074158588, 2281.744156343052)","[genpy.Time[277173000000], genpy.Time[277173000000], genpy.Time[277173000000]]"
"1970/01/01/02:04:37.374000","(26955, 26952, 26959, 26954)","(2784.3039062664498, 3154.6694577600874, 1732.976927863906, 2278.194656021551)","[genpy.Time[277374000000], genpy.Time[277374000000], genpy.Time[277374000000]]"
"1970/01/01/02:04:37.575000","(26955, 26952, 26959, 26954)","(2692.7667770463795, 3153.721287245581, 1724.770260028087, 2308.401857154737)","[genpy.Time[277574000000], genpy.Time[277574000000], genpy.Time[277574000000]]"
"1970/01/01/02:04:37.774000","(26955, 26952, 26959, 26954)","(2734.0362955582546, 3118.9386459976, 1726.215308444374, 2285.722848894567)","[genpy.Time[277774000000], genpy.Time[277774000000], genpy.Time[277774000000]]"
"1970/01/01/02:04:37.974000","(26955, 26952, 26959, 26954)","(2761.056341854766, 3152.693638221351, 1732.7437569728852, 2291.1663863131635)","[genpy.Time[277974000000], genpy.Time[277974000000], genpy.Time[277974000000]]"
"1970/01/01/02:04:38.176000","(26955, 26952, 26959, 26954)","(2761.61243957117, 3109.940911479321, 1721.2620803574578, 2273.335968598204)","[genpy.Time[278174000000], genpy.Time[278174000000], genpy.Time[278174000000]]"
