time,destination_id,distance,stamp,secs,nsecs,secs,nsecs
112410000000,"(26955, 26952, 26959, 26954)","(4208.4354074705725, 2601.937853907613, 3733.7858574129123, 1617.3018763150678)",112,410000000,112,410000000,112,410000000
112611000000,"(26955, 26952, 26959, 26954)","(4135.646628039382, 2556.744073506606, 3708.5372102516385, 1635.7405295137446)",112,610000000,112,610000000,112,610000000
112813000000,"(26955, 26952, 26959, 26954)","(4223.2716123313185, 2577.235459738329, 3740.6255568582847, 1601.8635811790082)",112,811000000,112,811000000,112,811000000
113013000000,"(26955, 26952, 26959, 26954)","(4251.549345812353, 2594.5860381285875, 3722.708811176621, 1622.2497943851417)",113,12000000,113,12000000,113,12000000
113214000000,"(26955, 26952, 26959, 26954)","(4211.624523175343, 2595.873531971162, 3710.276448627884, 1611.5756827402465)",113,213000000,113,213000000,113,213000000
113416000000,"(26955, 26952, 26959, 26954)","(4204.170658168007, 2563.2547149399566, 3781.891477691856, 1620.5066122915412)",113,413000000,113,413000000,113,413000000
113617000000,"(26955, 26952, 26959, 26954)","(4266.21547766544, 2537.0675701948467, 3684.1758280352865, 1599.6330292870819)",113,616000000,113,616000000,113,616000000
113820000000,"(26955, 26952, 26959, 26954)","(4224.0531878155625, 2555.501277193375, 3752.0426543464246, 1606.8933329558783)",113,820000000,113,820000000,113,820000000
114024000000,"(26955, 26952, 26959, 26954)","(4253.806346290619, 2567.8805308904466, 3678.3840857713208, 1630.4715250262159)",114,22000000,114,22000000,114,22000000
114226000000,"(26955, 26952, 26959, 26954)","(4233.674750690967, 2582.6459059891645, 3717.7857263698456, 1623.54366676319)",114,225000000,114,225000000,114,225000000
114426000000,"(26955, 26952, 26959, 26954)","(4247.466737755405, 2551.6191898657876, 3726.7702450617508, 1615.3055551802859)",114,425000000,114,425000000,114,425000000
114626000000,"(26955, 26952, 26959, 26954)","(4200.278041096195, 2596.599777858383, 3697.616475732763, 1628.3343986203995)",114,625000000,114,625000000,114,625000000
114829000000,"(26955, 26952, 26959, 26954)","(4215.410092198598, 2560.944084007554, 3700.1584359645362, 1622.5184951481006)",114,827000000,114,827000000,114,827000000
115029000000,"(26955, 26952, 26959, 26954)","(4149.947108997898, 2575.6716524751346, 3705.1604559776706, 1616.562991162487)",115,28000000,115,28000000,115,28000000
115229000000,"(26955, 26952, 26959, 26954)","(4211.628465204993, 2565.4469669350597, 3720.7242873744335, 1586.7939229784308)",115,228000000,115,228000000,115,228000000
115429000000,"(26955, 26952, 26959, 26954)","(4243.887437544588, 2578.4293494683548, 3710.706596180882, 1624.5009454915175)",115,428000000,115,428000000,115,428000000
115630000000,"(26955, 26952, 26959, 26954)","(4186.186852540704, 2561.887536871308, 3747.469940774624, 1631.342137947972)",115,629000000,115,629000000,115,629000000
115829000000,"(26955, 26952, 26959, 26954)","(4218.935107109471, 2607.5498875708886, 3711.667633806069, 1618.05472965879)",115,829000000,115,829000000,115,829000000
116030000000,"(26955, 26952, 26959, 26954)","(4264.237002392586, 2565.6727638668076, 3709.3229093235636, 1633.5659246580176)",116,29000000,116,29000000,116,29000000
116231000000,"(26955, 26952, 26959, 26954)","(4184.406343095344, 2560.4865534884852, 3757.717594727895, 1604.7860836808115)",116,230000000,116,230000000,116,230000000
116432000000,"(26955, 26952, 26959, 26954)","(4250.784601402442, 2587.8323323991494, 3710.4871518657205, 1617.833407727895)",116,431000000,116,431000000,116,431000000
116634000000,"(26955, 26952, 26959, 26954)","(4253.489201426724, 2561.01940061008, 3721.02019024859, 1636.0057509989465)",116,632000000,116,632000000,116,632000000
116835000000,"(26955, 26952, 26959, 26954)","(4223.200579992944, 2591.731673358758, 3701.7484063918805, 1626.0997494809872)",116,833000000,116,833000000,116,833000000
117036000000,"(26955, 26952, 26959, 26954)","(4231.923237561855, 2578.973104115453, 3697.514615713414, 1609.335089517421)",117,35000000,117,35000000,117,35000000
117237000000,"(26955, 26952, 26959, 26954)","(4190.8171652146575, 2570.301816782749, 3733.1814450765564, 1618.7577378108658)",117,237000000,117,237000000,117,237000000
117442000000,"(26955, 26952, 26959, 26954)","(4256.126293994926, 2574.0993717035926, 3713.493777585354, 1615.4487592689889)",117,440000000,117,440000000,117,440000000
117644000000,"(26955, 26952, 26959, 26954)","(4208.05570284244, 2579.548736028923, 3727.599579656473, 1618.9203915865164)",117,643000000,117,643000000,117,643000000
117845000000,"(26955, 26952, 26959, 26954)","(4234.66453088022, 2565.8593516591504, 3685.7691388214635, 1598.4548627070058)",117,844000000,117,844000000,117,844000000
118045000000,"(26955, 26952, 26959, 26954)","(4228.654513895283, 2541.631238526238, 3729.678412855219, 1616.5224442262045)",118,45000000,118,45000000,118,45000000
118245000000,"(26955, 26952, 26959, 26954)","(4187.652136040444, 2567.499026830476, 3760.6029409661446, 1623.389918609885)",118,245000000,118,245000000,118,245000000
118445000000,"(26955, 26952, 26959, 26954)","(4260.491511403932, 2581.1999245228258, 3688.5796242950337, 1627.9378856511403)",118,445000000,118,445000000,118,445000000
118645000000,"(26955, 26952, 26959, 26954)","(4217.392725886467, 2583.4312830272365, 3696.337810749879, 1604.2253775902159)",118,645000000,118,645000000,118,645000000
118845000000,"(26955, 26952, 26959, 26954)","(4172.674574586006, 2562.567254487028, 3725.2010638332686, 1599.2686624032422)",118,845000000,118,845000000,118,845000000
119047000000,"(26955, 26952, 26959, 26954)","(4222.797282795071, 2612.5691255749866, 3740.560577038635, 1628.8817413507572)",119,45000000,119,45000000,119,45000000
119246000000,"(26955, 26952, 26959, 26954)","(4269.933337979655, 2569.149439497807, 3751.049259150086, 1617.5353675732133)",119,246000000,119,246000000,119,246000000
119448000000,"(26955, 26952, 26959, 26954)","(4223.509293065372, 2593.5184785009355, 3748.855358455052, 1639.046916596002)",119,447000000,119,447000000,119,447000000
119646000000,"(26955, 26952, 26959, 26954)","(4241.128811094089, 2617.3976799786205, 3732.6097265172743, 1600.0617948062181)",119,648000000,119,648000000,119,648000000
119857000000,"(26955, 26952, 26959, 26954)","(4158.208956255985, 2542.219113325418, 3652.4760101965335, 1590.0997296510895)",119,855000000,119,855000000,119,855000000
120059000000,"(26955, 26952, 26959, 26954)","(4171.17711857026, 2553.1915642906756, 3649.19642997056, 1577.6255235796484)",120,58000000,120,58000000,120,58000000
120260000000,"(26955, 26952, 26959, 26954)","(4063.2146867826036, 2547.8074021454568, 3547.3771997589542, 1586.7876454290204)",120,259000000,120,259000000,120,259000000
120460000000,"(26955, 26952, 26959, 26954)","(4044.6264759148644, 2557.843723727419, 3520.3678409010276, 1553.3483658933828)",120,460000000,120,460000000,120,460000000
120662000000,"(26955, 26952, 26959, 26954)","(4055.902632592687, 2516.4312118426324, 3516.0901915710474, 1535.1227895329657)",120,660000000,120,660000000,120,660000000
120861000000,"(26955, 26952, 26959, 26954)","(4002.5840648215576, 2554.130968779399, 3459.905691061, 1504.9051692210055)",120,861000000,120,861000000,120,861000000
121061000000,"(26955, 26952, 26959, 26954)","(3918.30560243257, 2537.7638457191706, 3410.1532485042994, 1513.062709213741)",121,61000000,121,61000000,121,61000000
121264000000,"(26955, 26952, 26959, 26954)","(3913.2129208749684, 2533.5936315329736, 3340.747374635205, 1508.0471940723094)",121,263000000,121,263000000,121,263000000
121465000000,"(26955, 26952, 26959, 26954)","(3864.5062283264133, 2536.1683999979773, 3279.6673372638948, 1478.854673167648)",121,464000000,121,464000000,121,464000000
121666000000,"(26955, 26952, 26959, 26954)","(3872.649800638501, 2513.7891559651353, 3262.1034138057257, 1442.0879076799079)",121,665000000,121,665000000,121,665000000
121865000000,"(26955, 26952, 26959, 26954)","(3789.527058496415, 2511.458729076646, 3166.3975763358226, 1463.8676626204892)",121,866000000,121,866000000,121,866000000
122071000000,"(26955, 26952, 26959, 26954)","(3769.242485097622, 2531.661532240275, 3151.0114616823817, 1450.61579867745)",122,68000000,122,68000000,122,68000000
122272000000,"(26955, 26952, 26959, 26954)","(3764.1403379334706, 2536.7559558334237, 3097.0235236453136, 1462.3538158653332)",122,274000000,122,274000000,122,274000000
122474000000,"(26955, 26952, 26959, 26954)","(3681.099187276247, 2537.456837566469, 3077.937686917349, 1453.946393806824)",122,474000000,122,474000000,122,474000000
122676000000,"(26955, 26952, 26959, 26954)","(3718.228953254569, 2585.340665111443, 3001.2753427251364, 1464.3731006022463)",122,675000000,122,675000000,122,675000000
122876000000,"(26955, 26952, 26959, 26954)","(3633.225427975252, 2574.745112396559, 2928.6412160042432, 1453.5078646857314)",122,875000000,122,875000000,122,875000000
123077000000,"(26955, 26952, 26959, 26954)","(3626.845684558758, 2608.879587335806, 2920.9692765300606, 1461.5181750532786)",123,77000000,123,77000000,123,77000000
123276000000,"(26955, 26952, 26959, 26954)","(3570.5501037714052, 2561.0450249978717, 2892.4338450782016, 1491.1884555081133)",123,277000000,123,277000000,123,277000000
123479000000,"(26955, 26952, 26959, 26954)","(3587.611419478132, 2547.491681346139, 2792.950214060032, 1475.3552507675363)",123,478000000,123,478000000,123,478000000
123681000000,"(26955, 26952, 26959, 26954)","(3458.0733933152746, 2585.3231483550335, 2759.4342252643264, 1497.3267730329403)",123,679000000,123,679000000,123,679000000
123882000000,"(26955, 26952, 26959, 26954)","(3488.000084514663, 2649.8125900746686, 2700.8215758473643, 1499.5630026170675)",123,881000000,123,881000000,123,881000000
124082000000,"(26955, 26952, 26959, 26954)","(3435.197108633202, 2630.0739754397027, 2679.844895056859, 1526.801314736815)",124,81000000,124,81000000,124,81000000
124286000000,"(26955, 26952, 26959, 26954)","(3379.225767417297, 2670.924976585242, 2613.158808955728, 1542.5113896299974)",124,283000000,124,283000000,124,283000000
124485000000,"(26955, 26952, 26959, 26954)","(3344.6446365016013, 2683.8015483150534, 2611.7644005504976, 1576.8164017448162)",124,484000000,124,484000000,124,484000000
124685000000,"(26955, 26952, 26959, 26954)","(3315.0357131426604, 2654.1739035009614, 2572.5376491264883, 1564.686288532379)",124,684000000,124,684000000,124,684000000
124887000000,"(26955, 26952, 26959, 26954)","(3251.9572786696367, 2669.4846675666363, 2484.4417906008325, 1628.2050922762965)",124,885000000,124,885000000,124,885000000
125087000000,"(26955, 26952, 26959, 26954)","(3247.450079739556, 2715.7683080564925, 2425.5874789820687, 1621.8670043475765)",125,86000000,125,86000000,125,86000000
125287000000,"(26955, 26952, 26959, 26954)","(3218.892746036435, 2700.564250033529, 2400.3119423447, 1658.5712025877758)",125,287000000,125,287000000,125,287000000
125487000000,"(26955, 26952, 26959, 26954)","(3188.4683904339404, 2769.91093496604, 2376.324438714215, 1668.1929748444963)",125,487000000,125,487000000,125,487000000
125687000000,"(26955, 26952, 26959, 26954)","(3187.8331420864006, 2754.129402784386, 2298.210516474243, 1730.2727631652124)",125,687000000,125,687000000,125,687000000
125889000000,"(26955, 26952, 26959, 26954)","(3134.893391716112, 2774.031555873234, 2298.958529241802, 1738.5965654524803)",125,889000000,125,889000000,125,889000000
126090000000,"(26955, 26952, 26959, 26954)","(3124.965101377269, 2775.1297465314383, 2266.6060367047894, 1783.2758064289192)",126,89000000,126,89000000,126,89000000
126291000000,"(26955, 26952, 26959, 26954)","(3116.4490729732174, 2834.1706187578447, 2217.2151276857653, 1803.5172439581372)",126,290000000,126,290000000,126,290000000
126497000000,"(26955, 26952, 26959, 26954)","(3052.9316133078773, 2829.621265665669, 2167.052400406289, 1828.1601889937438)",126,495000000,126,495000000,126,495000000
126696000000,"(26955, 26952, 26959, 26954)","(3003.084775072846, 2862.956768791672, 2118.0626013460587, 1861.168583869572)",126,695000000,126,695000000,126,695000000
126896000000,"(26955, 26952, 26959, 26954)","(2985.8372655863695, 2844.5240868576147, 2090.0792108317714, 1880.7304536068716)",126,896000000,126,896000000,126,896000000
127101000000,"(26955, 26952, 26959, 26954)","(3001.6828128006687, 2907.48102043576, 2069.3020156967173, 1954.6343800468735)",127,101000000,127,101000000,127,101000000
127301000000,"(26955, 26952, 26959, 26954)","(2953.4425832433462, 2899.6554224939323, 2014.659891643614, 1964.1210343554335)",127,301000000,127,301000000,127,301000000
127502000000,"(26955, 26952, 26959, 26954)","(2918.337502952012, 2939.5144994075727, 1972.1457595933198, 2015.5587045300094)",127,501000000,127,501000000,127,501000000
127703000000,"(26955, 26952, 26959, 26954)","(2917.458458101734, 2921.036574230216, 1971.702500605574, 2046.3534285586945)",127,702000000,127,702000000,127,702000000
127905000000,"(26955, 26952, 26959, 26954)","(2860.807770546894, 2992.2521971187803, 1924.782414846482, 2095.7090940397516)",127,905000000,127,905000000,127,905000000
128106000000,"(26955, 26952, 26959, 26954)","(2848.961017541943, 2996.6661251065857, 1903.8454207801838, 2136.1367553606165)",128,106000000,128,106000000,128,106000000
128308000000,"(26955, 26952, 26959, 26954)","(2767.039273326795, 3011.0693308208965, 1862.4585438293627, 2169.379561680156)",128,308000000,128,308000000,128,308000000
128510000000,"(26955, 26952, 26959, 26954)","(2775.6337067682334, 3038.656044480706, 1830.2895124463498, 2182.909991891895)",128,510000000,128,510000000,128,510000000
