time,destination_id,distance,stamp
1970/01/01/02:01:52.410000,"(26955, 26952, 26959, 26954)","(4208.4354074705725, 2601.937853907613, 3733.7858574129123, 1617.3018763150678)","[genpy.Time[112410000000], genpy.Time[112410000000], genpy.Time[112410000000]]"
1970/01/01/02:01:52.611000,"(26955, 26952, 26959, 26954)","(4135.646628039382, 2556.744073506606, 3708.5372102516385, 1635.7405295137446)","[genpy.Time[112610000000], genpy.Time[112610000000], genpy.Time[112610000000]]"
1970/01/01/02:01:52.813000,"(26955, 26952, 26959, 26954)","(4223.2716123313185, 2577.235459738329, 3740.6255568582847, 1601.8635811790082)","[genpy.Time[112811000000], genpy.Time[112811000000], genpy.Time[112811000000]]"
1970/01/01/02:01:53.013000,"(26955, 26952, 26959, 26954)","(4251.549345812353, 2594.5860381285875, 3722.708811176621, 1622.2497943851417)","[genpy.Time[113012000000], genpy.Time[113012000000], genpy.Time[113012000000]]"
1970/01/01/02:01:53.214000,"(26955, 26952, 26959, 26954)","(4211.624523175343, 2595.873531971162, 3710.276448627884, 1611.5756827402465)","[genpy.Time[113213000000], genpy.Time[113213000000], genpy.Time[113213000000]]"
1970/01/01/02:01:53.416000,"(26955, 26952, 26959, 26954)","(4204.170658168007, 2563.2547149399566, 3781.891477691856, 1620.5066122915412)","[genpy.Time[113413000000], genpy.Time[113413000000], genpy.Time[113413000000]]"
1970/01/01/02:01:53.617000,"(26955, 26952, 26959, 26954)","(4266.21547766544, 2537.0675701948467, 3684.1758280352865, 1599.6330292870819)","[genpy.Time[113616000000], genpy.Time[113616000000], genpy.Time[113616000000]]"
1970/01/01/02:01:53.820000,"(26955, 26952, 26959, 26954)","(4224.0531878155625, 2555.501277193375, 3752.0426543464246, 1606.8933329558783)","[genpy.Time[113820000000], genpy.Time[113820000000], genpy.Time[113820000000]]"
1970/01/01/02:01:54.024000,"(26955, 26952, 26959, 26954)","(4253.806346290619, 2567.8805308904466, 3678.3840857713208, 1630.4715250262159)","[genpy.Time[114022000000], genpy.Time[114022000000], genpy.Time[114022000000]]"
1970/01/01/02:01:54.226000,"(26955, 26952, 26959, 26954)","(4233.674750690967, 2582.6459059891645, 3717.7857263698456, 1623.54366676319)","[genpy.Time[114225000000], genpy.Time[114225000000], genpy.Time[114225000000]]"
1970/01/01/02:01:54.426000,"(26955, 26952, 26959, 26954)","(4247.466737755405, 2551.6191898657876, 3726.7702450617508, 1615.3055551802859)","[genpy.Time[114425000000], genpy.Time[114425000000], genpy.Time[114425000000]]"
1970/01/01/02:01:54.626000,"(26955, 26952, 26959, 26954)","(4200.278041096195, 2596.599777858383, 3697.616475732763, 1628.3343986203995)","[genpy.Time[114625000000], genpy.Time[114625000000], genpy.Time[114625000000]]"
1970/01/01/02:01:54.829000,"(26955, 26952, 26959, 26954)","(4215.410092198598, 2560.944084007554, 3700.1584359645362, 1622.5184951481006)","[genpy.Time[114827000000], genpy.Time[114827000000], genpy.Time[114827000000]]"
1970/01/01/02:01:55.029000,"(26955, 26952, 26959, 26954)","(4149.947108997898, 2575.6716524751346, 3705.1604559776706, 1616.562991162487)","[genpy.Time[115028000000], genpy.Time[115028000000], genpy.Time[115028000000]]"
1970/01/01/02:01:55.229000,"(26955, 26952, 26959, 26954)","(4211.628465204993, 2565.4469669350597, 3720.7242873744335, 1586.7939229784308)","[genpy.Time[115228000000], genpy.Time[115228000000], genpy.Time[115228000000]]"
1970/01/01/02:01:55.429000,"(26955, 26952, 26959, 26954)","(4243.887437544588, 2578.4293494683548, 3710.706596180882, 1624.5009454915175)","[genpy.Time[115428000000], genpy.Time[115428000000], genpy.Time[115428000000]]"
1970/01/01/02:01:55.630000,"(26955, 26952, 26959, 26954)","(4186.186852540704, 2561.887536871308, 3747.469940774624, 1631.342137947972)","[genpy.Time[115629000000], genpy.Time[115629000000], genpy.Time[115629000000]]"
1970/01/01/02:01:55.829000,"(26955, 26952, 26959, 26954)","(4218.935107109471, 2607.5498875708886, 3711.667633806069, 1618.05472965879)","[genpy.Time[115829000000], genpy.Time[115829000000], genpy.Time[115829000000]]"
1970/01/01/02:01:56.030000,"(26955, 26952, 26959, 26954)","(4264.237002392586, 2565.6727638668076, 3709.3229093235636, 1633.5659246580176)","[genpy.Time[116029000000], genpy.Time[116029000000], genpy.Time[116029000000]]"
1970/01/01/02:01:56.231000,"(26955, 26952, 26959, 26954)","(4184.406343095344, 2560.4865534884852, 3757.717594727895, 1604.7860836808115)","[genpy.Time[116230000000], genpy.Time[116230000000], genpy.Time[116230000000]]"
1970/01/01/02:01:56.432000,"(26955, 26952, 26959, 26954)","(4250.784601402442, 2587.8323323991494, 3710.4871518657205, 1617.833407727895)","[genpy.Time[116431000000], genpy.Time[116431000000], genpy.Time[116431000000]]"
1970/01/01/02:01:56.634000,"(26955, 26952, 26959, 26954)","(4253.489201426724, 2561.01940061008, 3721.02019024859, 1636.0057509989465)","[genpy.Time[116632000000], genpy.Time[116632000000], genpy.Time[116632000000]]"
1970/01/01/02:01:56.835000,"(26955, 26952, 26959, 26954)","(4223.200579992944, 2591.731673358758, 3701.7484063918805, 1626.0997494809872)","[genpy.Time[116833000000], genpy.Time[116833000000], genpy.Time[116833000000]]"
1970/01/01/02:01:57.036000,"(26955, 26952, 26959, 26954)","(4231.923237561855, 2578.973104115453, 3697.514615713414, 1609.335089517421)","[genpy.Time[117035000000], genpy.Time[117035000000], genpy.Time[117035000000]]"
