time,destination_id,distance,stamp
1970/01/01/02:03:27.023000,"(26955, 26952, 26959, 26954)","(3915.898481382962, 2286.7587657698446, 6954.321664400542, 6299.040775119146)","[genpy.Time[207023000000], genpy.Time[207023000000], genpy.Time[207023000000]]"
1970/01/01/02:03:27.223000,"(26955, 26952, 26959, 26954)","(3868.6024417143294, 2302.2555291604644, 7095.673455561159, 6324.9037727077275)","[genpy.Time[207223000000], genpy.Time[207223000000], genpy.Time[207223000000]]"
1970/01/01/02:03:27.424000,"(26955, 26952, 26959, 26954)","(3926.0010545189643, 2342.1615372170195, 7123.987883836394, 6275.364741257804)","[genpy.Time[207424000000], genpy.Time[207424000000], genpy.Time[207424000000]]"
1970/01/01/02:03:27.624000,"(26955, 26952, 26959, 26954)","(3869.1873190358265, 2296.236050075544, 7004.986630055645, 6276.154856502972)","[genpy.Time[207624000000], genpy.Time[207624000000], genpy.Time[207624000000]]"
1970/01/01/02:03:27.826000,"(26955, 26952, 26959, 26954)","(3934.18574955686, 2299.285120411671, 7099.660999626104, 6275.827992674307)","[genpy.Time[207825000000], genpy.Time[207825000000], genpy.Time[207825000000]]"
1970/01/01/02:03:28.027000,"(26955, 26952, 26959, 26954)","(3939.3222049109177, 2331.999938431831, 7084.980008992953, 6310.166974678643)","[genpy.Time[208026000000], genpy.Time[208026000000], genpy.Time[208026000000]]"
1970/01/01/02:03:28.227000,"(26955, 26952, 26959, 26954)","(3879.948259765279, 2286.6343749413086, 7193.554289617412, 6249.301396420278)","[genpy.Time[208227000000], genpy.Time[208227000000], genpy.Time[208227000000]]"
1970/01/01/02:03:28.429000,"(26955, 26952, 26959, 26954)","(3827.8240296268846, 2317.125626987675, 7007.027998458544, 6313.717464911431)","[genpy.Time[208427000000], genpy.Time[208427000000], genpy.Time[208427000000]]"
1970/01/01/02:03:28.629000,"(26955, 26952, 26959, 26954)","(3904.179814911647, 2294.0022758061814, 7088.864376119606, 6265.89479845138)","[genpy.Time[208629000000], genpy.Time[208629000000], genpy.Time[208629000000]]"
1970/01/01/02:03:28.831000,"(26955, 26952, 26959, 26954)","(3937.781417416514, 2314.337691589534, 7054.457692822023, 6259.076382960753)","[genpy.Time[208830000000], genpy.Time[208830000000], genpy.Time[208830000000]]"
1970/01/01/02:03:29.032000,"(26955, 26952, 26959, 26954)","(3856.4701694477576, 2349.297868755318, 6991.117890645166, 6339.924565400352)","[genpy.Time[209031000000], genpy.Time[209031000000], genpy.Time[209031000000]]"
1970/01/01/02:03:29.233000,"(26955, 26952, 26959, 26954)","(3943.798888904154, 2317.964739315672, 7119.478177372842, 6248.423436756269)","[genpy.Time[209232000000], genpy.Time[209232000000], genpy.Time[209232000000]]"
1970/01/01/02:03:29.435000,"(26955, 26952, 26959, 26954)","(3939.822717633125, 2310.419304253916, 7022.248402877546, 6313.753950891814)","[genpy.Time[209433000000], genpy.Time[209433000000], genpy.Time[209433000000]]"
