time,.destination_id,.distance,.stamp
1970/01/01/02:01:09.126000,"(26955, 26952, 26959, 26954)","(829.8385595724034, 1941.7051056770345, 4106.743289148308, 4490.865891990741)","[genpy.Time[69126000000], genpy.Time[69126000000], genpy.Time[69126000000]]"
1970/01/01/02:01:09.331000,"(26955, 26952, 26959, 26954)","(837.6865292634395, 1964.8277184115962, 4116.349880837377, 4446.772762634393)","[genpy.Time[69330000000], genpy.Time[69330000000], genpy.Time[69330000000]]"
1970/01/01/02:01:09.536000,"(26955, 26952, 26959, 26954)","(836.1250276921336, 1972.1777690384101, 4082.0500832589064, 4493.516658876381)","[genpy.Time[69535000000], genpy.Time[69535000000], genpy.Time[69535000000]]"
1970/01/01/02:01:09.736000,"(26955, 26952, 26959, 26954)","(842.3547909313193, 1965.5075430126708, 4156.305265478807, 4474.968512573932)","[genpy.Time[69736000000], genpy.Time[69736000000], genpy.Time[69736000000]]"
1970/01/01/02:01:09.938000,"(26955, 26952, 26959, 26954)","(834.557679426985, 1945.1798515908147, 4110.1164717590555, 4488.614383765267)","[genpy.Time[69938000000], genpy.Time[69938000000], genpy.Time[69938000000]]"
1970/01/01/02:01:10.139000,"(26955, 26952, 26959, 26954)","(831.3421588397689, 1958.01517992156, 4081.133826946897, 4513.639163032821)","[genpy.Time[70139000000], genpy.Time[70139000000], genpy.Time[70139000000]]"
1970/01/01/02:01:10.340000,"(26955, 26952, 26959, 26954)","(833.2528567420576, 1969.8952223695958, 4075.4002915527158, 4520.301785820263)","[genpy.Time[70340000000], genpy.Time[70340000000], genpy.Time[70340000000]]"
1970/01/01/02:01:10.541000,"(26955, 26952, 26959, 26954)","(842.5260355391467, 1974.8034035268438, 4101.145075336535, 4477.253205022246)","[genpy.Time[70540000000], genpy.Time[70540000000], genpy.Time[70540000000]]"
1970/01/01/02:01:10.741000,"(26955, 26952, 26959, 26954)","(838.418258640132, 1964.8914783268458, 4133.720669625158, 4497.823508855326)","[genpy.Time[70740000000], genpy.Time[70740000000], genpy.Time[70740000000]]"
1970/01/01/02:01:10.942000,"(26955, 26952, 26959, 26954)","(842.3350003975535, 1969.5090913852343, 4056.7843415193324, 4477.50109194441)","[genpy.Time[70941000000], genpy.Time[70941000000], genpy.Time[70941000000]]"
