time,.destination_id,.distance,.stamp
1970/01/01/02:02:30.069000,"(26955, 26952, 26959, 26954)","(1927.1304980951147, 879.4077928972567, 4476.414769329576, 4063.4246753940984)","[genpy.Time[150067000000], genpy.Time[150067000000], genpy.Time[150067000000]]"
1970/01/01/02:02:30.270000,"(26955, 26952, 26959, 26954)","(1938.840790642789, 868.3912253309106, 4428.043371030187, 4097.935292483783)","[genpy.Time[150269000000], genpy.Time[150269000000], genpy.Time[150269000000]]"
1970/01/01/02:02:30.471000,"(26955, 26952, 26959, 26954)","(1931.6529167791196, 866.3054100582115, 4416.284710878629, 4055.884219907256)","[genpy.Time[150476000000], genpy.Time[150476000000], genpy.Time[150476000000]]"
1970/01/01/02:02:30.679000,"(26955, 26952, 26959, 26954)","(1923.9415956611747, 861.8547255199059, 4480.545837958086, 4085.407276184353)","[genpy.Time[150676000000], genpy.Time[150676000000], genpy.Time[150676000000]]"
1970/01/01/02:02:30.876000,"(26955, 26952, 26959, 26954)","(1941.1490917992646, 864.7728380429045, 4435.204503189723, 4079.2635200383543)","[genpy.Time[150876000000], genpy.Time[150876000000], genpy.Time[150876000000]]"
1970/01/01/02:02:31.077000,"(26955, 26952, 26959, 26954)","(1937.5113888148765, 871.4237847259869, 4502.831455839172, 4115.515876152461)","[genpy.Time[151077000000], genpy.Time[151077000000], genpy.Time[151077000000]]"
1970/01/01/02:02:31.280000,"(26955, 26952, 26959, 26954)","(1903.0799139205942, 880.9157951828829, 4408.15767155357, 4070.9253722450067)","[genpy.Time[151280000000], genpy.Time[151280000000], genpy.Time[151280000000]]"
1970/01/01/02:02:31.481000,"(26955, 26952, 26959, 26954)","(1951.917349321736, 859.6532340886628, 4454.641877810141, 4168.614713146179)","[genpy.Time[151480000000], genpy.Time[151480000000], genpy.Time[151480000000]]"
1970/01/01/02:02:31.677000,"(26955, 26952, 26959, 26954)","(1932.5283935316772, 863.8397961189577, 4415.730611444303, 4070.267392129068)","[genpy.Time[151681000000], genpy.Time[151681000000], genpy.Time[151681000000]]"
1970/01/01/02:02:31.883000,"(26955, 26952, 26959, 26954)","(1942.4578202759158, 862.2840122996523, 4512.875088906484, 4053.35794012853)","[genpy.Time[151882000000], genpy.Time[151882000000], genpy.Time[151882000000]]"
1970/01/01/02:02:32.086000,"(26955, 26952, 26959, 26954)","(1951.173281949183, 873.4832328687663, 4464.508256560184, 4124.576464835711)","[genpy.Time[152084000000], genpy.Time[152084000000], genpy.Time[152084000000]]"
1970/01/01/02:02:32.286000,"(26955, 26952, 26959, 26954)","(1931.7307368965537, 869.6194473215912, 4481.689567853223, 4085.869873477021)","[genpy.Time[152285000000], genpy.Time[152285000000], genpy.Time[152285000000]]"
1970/01/01/02:02:32.489000,"(26955, 26952, 26959, 26954)","(1945.7891666833345, 870.6361780491083, 4429.2132980669285, 4170.469580593954)","[genpy.Time[152488000000], genpy.Time[152488000000], genpy.Time[152488000000]]"
1970/01/01/02:02:32.691000,"(26955, 26952, 26959, 26954)","(1938.7967989653462, 870.8920148069228, 4498.651848789981, 4121.325608377149)","[genpy.Time[152690000000], genpy.Time[152690000000], genpy.Time[152690000000]]"
1970/01/01/02:02:32.892000,"(26955, 26952, 26959, 26954)","(1949.610998393885, 870.3024335658666, 4440.293010804243, 4051.097365908593)","[genpy.Time[152891000000], genpy.Time[152891000000], genpy.Time[152891000000]]"
1970/01/01/02:02:33.093000,"(26955, 26952, 26959, 26954)","(1915.4046986276326, 867.6155557540554, 4442.42637053887, 4095.946493773814)","[genpy.Time[153092000000], genpy.Time[153092000000], genpy.Time[153092000000]]"
1970/01/01/02:02:33.294000,"(26955, 26952, 26959, 26954)","(1927.7179634853956, 875.5945089104605, 4474.613103153441, 4092.0434961441365)","[genpy.Time[153293000000], genpy.Time[153293000000], genpy.Time[153293000000]]"
1970/01/01/02:02:33.494000,"(26955, 26952, 26959, 26954)","(1947.9965665780421, 873.812133885093, 4416.454928805336, 4135.395889689324)","[genpy.Time[153494000000], genpy.Time[153494000000], genpy.Time[153494000000]]"
1970/01/01/02:02:33.695000,"(26955, 26952, 26959, 26954)","(1898.495670531215, 874.2576152299865, 4411.9239922003235, 4140.621454374343)","[genpy.Time[153695000000], genpy.Time[153695000000], genpy.Time[153695000000]]"
1970/01/01/02:02:33.896000,"(26955, 26952, 26959, 26954)","(1913.8116265154808, 877.3189717186957, 4434.953718142794, 4094.2123873684586)","[genpy.Time[153896000000], genpy.Time[153896000000], genpy.Time[153896000000]]"
1970/01/01/02:02:34.096000,"(26955, 26952, 26959, 26954)","(1958.8580194939736, 870.6487521771315, 4444.500991228349, 4151.376153651207)","[genpy.Time[154096000000], genpy.Time[154096000000], genpy.Time[154096000000]]"
1970/01/01/02:02:34.297000,"(26955, 26952, 26959, 26954)","(1934.7868277330945, 865.5459995990842, 4551.277548720322, 4116.141895866803)","[genpy.Time[154297000000], genpy.Time[154297000000], genpy.Time[154297000000]]"
1970/01/01/02:02:34.498000,"(26955, 26952, 26959, 26954)","(1935.4451817368215, 874.2635864256425, 4421.3467874415655, 4087.963677908642)","[genpy.Time[154497000000], genpy.Time[154497000000], genpy.Time[154497000000]]"
1970/01/01/02:02:34.698000,"(26955, 26952, 26959, 26954)","(1922.5554870250965, 871.9865639243346, 4398.842796165656, 4087.8615271214553)","[genpy.Time[154698000000], genpy.Time[154698000000], genpy.Time[154698000000]]"
1970/01/01/02:02:34.900000,"(26955, 26952, 26959, 26954)","(1925.4401684233812, 869.4757735509221, 4407.282085443187, 4091.60789585513)","[genpy.Time[154899000000], genpy.Time[154899000000], genpy.Time[154899000000]]"
1970/01/01/02:02:35.100000,"(26955, 26952, 26959, 26954)","(1915.0705068048394, 870.0997221226264, 4474.203892929376, 4056.89720968474)","[genpy.Time[155099000000], genpy.Time[155099000000], genpy.Time[155099000000]]"
1970/01/01/02:02:35.300000,"(26955, 26952, 26959, 26954)","(1930.583539987164, 876.4145748675882, 4431.860617065146, 4115.627253178255)","[genpy.Time[155300000000], genpy.Time[155300000000], genpy.Time[155300000000]]"
1970/01/01/02:02:35.502000,"(26955, 26952, 26959, 26954)","(1949.0023817722092, 868.9635787319534, 4431.960047998195, 4091.3230379673564)","[genpy.Time[155501000000], genpy.Time[155501000000], genpy.Time[155501000000]]"
