time,.destination_id,.distance,.stamp
1970/01/01/02:31:30.076000,"(26956, 26957, 26955, 26952, 26959, 26954)","(259.7255370644788, 1016.5029149796734, 1469.2097495557455, 2096.376467759562, 3136.2869845464056, 3461.867883113652)","[genpy.Time[1890071000000], genpy.Time[1890071000000], genpy.Time[1890071000000]]"
1970/01/01/02:31:30.277000,"(26956, 26957, 26955, 26952, 26959, 26954)","(252.09483123889672, 1001.387375481204, 1454.9039176153074, 2120.1627358737856, 3078.425750881223, 3445.3322478874447)","[genpy.Time[1890273000000], genpy.Time[1890273000000], genpy.Time[1890273000000]]"
1970/01/01/02:31:30.472000,"(26956, 26957, 26955, 26952, 26959, 26954)","(256.88879414334866, 1017.9470891429925, 1443.7416657118902, 2111.7582581328406, 3075.3092084517416, 3477.857790382756)","[genpy.Time[1890481000000], genpy.Time[1890481000000], genpy.Time[1890481000000]]"
1970/01/01/02:31:30.682000,"(26956, 26957, 26955, 26952, 26959, 26954)","(254.45497504447917, 1009.8712690539664, 1464.85772399621, 2109.0756126518468, 3079.901085930919, 3412.92474808809)","[genpy.Time[1890681000000], genpy.Time[1890681000000], genpy.Time[1890681000000]]"
1970/01/01/02:31:30.880000,"(26956, 26957, 26955, 26952, 26959, 26954)","(255.94932683479846, 1017.6774998586982, 1455.6983715431643, 2090.8282227532372, 3114.091451911896, 3419.397491466214)","[genpy.Time[1890883000000], genpy.Time[1890883000000], genpy.Time[1890883000000]]"
1970/01/01/02:31:31.085000,"(26956, 26957, 26955, 26952, 26959, 26954)","(258.59580380604217, 1017.2722669555902, 1466.13843168263, 2111.334089992378, 3095.2664026110083, 3428.518286765942)","[genpy.Time[1891084000000], genpy.Time[1891084000000], genpy.Time[1891084000000]]"
1970/01/01/02:31:31.286000,"(26956, 26957, 26955, 26952, 26959, 26954)","(254.9745630761918, 1013.2314186513786, 1456.0160233154668, 2121.9796100220615, 3063.2283063620553, 3417.4798310101623)","[genpy.Time[1891285000000], genpy.Time[1891285000000], genpy.Time[1891285000000]]"
1970/01/01/02:31:31.489000,"(26956, 26957, 26955, 26952, 26959, 26954)","(255.1994076823894, 1025.1881750381167, 1473.148770302943, 2071.5499639829036, 3122.3828386607756, 3480.7538653370634)","[genpy.Time[1891486000000], genpy.Time[1891486000000], genpy.Time[1891486000000]]"
1970/01/01/02:31:31.691000,"(26956, 26957, 26955, 26952, 26959, 26954)","(259.12984763609285, 1011.8371029046696, 1453.5984676367739, 2109.2277898747834, 3055.161676130136, 3452.1955206270477)","[genpy.Time[1891690000000], genpy.Time[1891690000000], genpy.Time[1891690000000]]"
1970/01/01/02:31:31.900000,"(26956, 26957, 26955, 26952, 26959, 26954)","(255.064906266498, 1016.4680278082042, 1464.2748653101871, 2127.1445275786696, 3044.94330763425, 3448.187062032771)","[genpy.Time[1891892000000], genpy.Time[1891892000000], genpy.Time[1891892000000]]"
1970/01/01/02:31:32.101000,"(26956, 26957, 26955, 26952, 26959, 26954)","(254.92945431546036, 1011.7220616108423, 1473.9004640320506, 2105.4555757809653, 3072.9979457904487, 3455.4682045167883)","[genpy.Time[1892100000000], genpy.Time[1892100000000], genpy.Time[1892100000000]]"
